Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited
Women's adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,7499,50,Adidas Adidas ORIGINALS,"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish.",4.8,41,2020-04-13T15:06:14
Women's adidas Originals Sleek Shoes,G27341,7599,3799,50,Adidas ORIGINALS,"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles.",3.3,24,2020-04-13T15:06:15
Women's adidas Swim Puka Slippers,CM0081,999,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.6,37,2020-04-13T15:06:15
Women's adidas Sport Inspired Questar Ride Shoes,B44832,6999,3499,50,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride.",4.1,35,2020-04-13T15:06:15
Women's adidas Originals Taekwondo Shoes,D98205,7999,3999,50,Adidas ORIGINALS,"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole.",3.5,72,2020-04-13T15:06:15
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,4799,1920,60,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",1.0,45,2020-04-13T15:06:15
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,4799,2399,50,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.4,2,2020-04-13T15:06:15
Women's adidas Swim Puka Slippers,CM0080,999,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.8,7,2020-04-13T15:06:15
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,B75990,5599,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",4.5,16,2020-04-13T15:06:15
Men's adidas Originals Forest Grove Shoes,EE5761,6599,3959,40,Adidas ORIGINALS,"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style.",4.0,39,2020-04-13T15:06:15
Women's adidas Originals Swift Run Shoes,EE4553,7599,4559,40,Adidas ORIGINALS,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability.",2.7,36,2020-04-13T15:06:16
Women's adidas Originals Continental Vulc Shoes,EF9315,6599,3959,40,Adidas ORIGINALS,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.,4.2,35,2020-04-13T15:06:16
Women's adidas Running Duramo 9 Shoes,F35281,5999,2999,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",2.6,97,2020-04-13T15:06:16
Women's adidas Originals Supercourt Shoes,EF9220,7599,4559,40,Adidas ORIGINALS,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look.",3.1,62,2020-04-13T15:06:16
Men's adidas Sport Inspired Response Trail Shoes,EG0000,7999,3999,50,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.2,16,2020-04-13T15:06:16
Women's adidas Running Cosmic 2 Shoes,B44889,5999,2999,50,Adidas CORE / NEO,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time.",3.1,69,2020-04-13T15:06:16
Women's adidas Sport Inspired Storm Runner Shoes,CL7417,4599,2299,50,Adidas CORE / NEO,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long.",1.0,16,2020-04-13T15:06:16
Women's adidas Sport Inspired Quickspike Shoes,CL7408,3999,1999,50,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3.1,8,2020-04-13T15:06:16
