Type,Flour,Milk,Sugar,Butter,Egg,Baking Powder,Vanilla,Salt
Muffin,50,24,3,7,4,2,0,0
Muffin,47,23,12,12,6,2,0,0
Muffin,47,26,4,6,9,1,0,0
Muffin,55,27,10,8,7,2,0,0
Muffin,43,28,8,9,5,1,1,0
Muffin,55,23,7,7,5,2,1,0
Muffin,50,29,6,12,7,1,0,0
Muffin,50,19,15,10,6,1,0,0
Muffin,40,20,14,6,4,1,0,0
Muffin,49,17,6,9,5,1,0,0
Cupcake,42,0,18,10,8,0,0,0
Cupcake,39,12,20,17,12,2,1,0
Cupcake,30,14,17,16,9,3,1,0
Cupcake,35,16,19,19,13,1,1,0
Cupcake,33,10,21,10,15,1,1,0
Cupcake,35,18,16,25,11,0,0,0
Cupcake,41,20,17,20,10,2,1,0
Cupcake,33,15,19,17,11,1,1,0
Cupcake,38,13,25,10,9,1,1,0
Cupcake,29,19,23,14,10,0,1,0
