skills_required,Skill_level,interests,interest_Levels,Career,assessment_score
Python,beginner, Analysis,0.5,Data Scientist,0.50
Python,beginner, Analysis,0.7,Data Scientist,0.60
Python,beginner, Analysis,0.9,Data Scientist,0.70
Machine Learning,intermediate,Artificial Intelligence,0.5,Data Scientist,0.80
Machine Learning,intermediate,Artificial Intelligence,0.7,Data Scientist,0.90
Machine Learning,intermediate,Artificial Intelligence,0.9,Data Scientist,0.50
Statistics,advanced,Predictive Modeling,0.5,Data Scientist,0.60
Statistics,advanced,Predictive Modeling,0.7,Data Scientist,0.70
Statistics,advanced,Predictive Modeling,0.9,Data Scientist,0.80
Java,beginner,Software Development,0.5,Software Engineer,0.50
Java,beginner,Software Development,0.7,Software Engineer,0.60
Java,beginner,Software Development,0.9,Software Engineer,0.70
C++,intermediate,Coding,0.5,Software Engineer,0.80
C++,intermediate,Coding,0.7,Software Engineer,0.90
C++,intermediate,Coding,0.9,Software Engineer,0.50
Software Development,advanced,Problem-Solving,0.5,Software Engineer,0.60
Software Development,advanced,Problem-Solving,0.7,Software Engineer,0.70
Software Development,advanced,Problem-Solving,0.9,Software Engineer,0.80
Product Management,beginner,Product Development,0.5,Product Manager,0.50
Product Management,beginner,Product Development,0.7,Product Manager,0.60
Product Management,beginner,Product Development,0.9,Product Manager,0.70
Market Research,intermediate,User Feedback,0.5,Product Manager,0.80
Market Research,intermediate,User Feedback,0.7,Product Manager,0.90
Market Research,intermediate,User Feedback,0.9,Product Manager,0.50
User Experience Design,beginner,User-Centered Design,0.5,UX Designer,0.50
User Experience Design,beginner,User-Centered Design,0.7,UX Designer,0.60
User Experience Design,beginner,User-Centered Design,0.9,UX Designer,0.70
Wireframing,intermediate,Usability Testing,0.5,UX Designer,0.80
Wireframing,intermediate,Usability Testing,0.7,UX Designer,0.90
Wireframing,intermediate,Usability Testing,0.9,UX Designer,0.50
SQL,beginner, Interpretation,0.5,Data Analyst,0.50
SQL,beginner, Interpretation,0.7,Data Analyst,0.60
SQL,beginner, Interpretation,0.9,Data Analyst,0.70
 Analysis,intermediate,Trends Analysis,0.5,Data Analyst,0.80
 Analysis,intermediate,Trends Analysis,0.7,Data Analyst,0.90
 Analysis,intermediate,Trends Analysis,0.9,Data Analyst,0.50
Visualization,advanced, Visualization,0.5,Data Analyst,0.60
Visualization,advanced, Visualization,0.7,Data Analyst,0.70
Visualization,advanced, Visualization,0.9,Data Analyst,0.80
Python,beginner,Machine Learning Algorithms,0.5,Machine Learning Engineer,0.50
Python,beginner,Machine Learning Algorithms,0.7,Machine Learning Engineer,0.60
Python,beginner,Machine Learning Algorithms,0.9,Machine Learning Engineer,0.70
TensorFlow,intermediate,Deep Learning,0.5,Machine Learning Engineer,0.80
TensorFlow,intermediate,Deep Learning,0.7,Machine Learning Engineer,0.90
TensorFlow,intermediate,Deep Learning,0.9,Machine Learning Engineer,0.50
Neural Networks,advanced,Model Optimization,0.5,Machine Learning Engineer,0.60
Neural Networks,advanced,Model Optimization,0.7,Machine Learning Engineer,0.70
Neural Networks,advanced,Model Optimization,0.9,Machine Learning Engineer,0.80
HTML,beginner,Web Design,0.5,Frontend Developer,0.50
HTML,beginner,Web Design,0.7,Frontend Developer,0.60
HTML,beginner,Web Design,0.9,Frontend Developer,0.70
CSS,intermediate,Frontend Frameworks,0.5,Frontend Developer,0.80
CSS,intermediate,Frontend Frameworks,0.7,Frontend Developer,0.90
CSS,intermediate,Frontend Frameworks,0.9,Frontend Developer,0.50
JavaScript,advanced,User Interface,0.5,Frontend Developer,0.60
JavaScript,advanced,User Interface,0.7,Frontend Developer,0.70
JavaScript,advanced,User Interface,0.9,Frontend Developer,0.80
Java,beginner,Server-Side Logic,0.5,Backend Developer,0.50
Java,beginner,Server-Side Logic,0.7,Backend Developer,0.60
Java,beginner,Server-Side Logic,0.9,Backend Developer,0.70
Ruby on Rails,intermediate,base Management,0.5,Backend Developer,0.80
